,AAPL,ABBV,0ABT,0ACN,ADBE,0AMD,AMGN,AMZN,AVGO,0BAC,0BMY,COST,0CRM,CSCO,0CVX,0DHR,0DIS,GOOG,00HD,0HON,INTC,0JPM,00KO,0LIN,0LLY,00MA,0MCD,META,0MRK,MSFT,0NEE,NFLX,0NKE,NVDA,ORCL,0PEP,0PFE,00PG,00PM,0TMO,TSLA,0TXN,0UNH,0UPS,000V,00VZ,0WFC,0WMT,0XOM
0BMY,0.9834603298225699,0.8643089320337475,1.0211431677139762,1.0212796741510912,1.0045472946823932,0.9788524394983221,0.9281757737882262,1.0596030981562852,1.0161804723032448,1.0926781469583415,0.0,0.9835836737121274,1.0220190033847296,1.0084240183641104,0.9971837327469664,0.9903811030040802,0.9556590134340279,0.978087829812873,0.9970305733219934,1.1115856930651575,1.0474669581182425,1.1134530990533753,0.9867575553617349,0.9777518273452627,0.8537381564119613,1.1080341526817057,0.9602859143613082,0.9647824189083354,0.9417358587997138,1.091694371816351,1.0129693870925853,0.9669284823444828,1.031337803960853,1.0819340059977574,1.000318930315651,0.9716418070228184,0.9286060517102156,0.9650752813762,1.0872524401433865,1.0179875367833864,1.0050647304703744,1.0421467111967693,0.9411634287714385,1.0117740575042486,1.0877446777621267,1.0083814376074365,1.0268807663569404,0.9763457706342747,1.0526263372870301
COST,0.9788002229470139,0.9468607120887889,0.9457154007396407,0.8857800483393613,0.9267151689359435,0.9167467367511838,0.9513946395985866,0.9451814654009196,0.9712386718700966,1.0355158912640339,0.9835836737121274,0.0,0.9572074420902952,0.8893392376715863,0.9514924779129079,0.8864138526548264,0.9440526222977708,0.9111063655720848,0.8428659684964878,0.9593965137720155,0.9807055535627844,1.0449620139298506,1.0152868266453232,0.8694389409236443,1.0064705005024415,0.9396567279163395,0.9042521040106462,0.9243401196404345,0.9769707568454631,0.9739035096273687,1.1130570523704588,0.953321693964402,0.8589102655250297,0.9734727699812812,0.8955689354119121,0.898425720952493,0.9454060865731224,0.9457779841363647,1.1580610977646506,0.9627025485544942,1.0046849350523972,0.9751182338210188,0.9834972617694819,0.9220804209294917,0.9292857450865085,0.9456744932965467,0.9925855972097254,0.8511358141854478,0.9710793473676693
0CRM,0.7980365254990753,0.8837029520521182,0.7854440293265801,0.7798644353983213,0.6393293728140873,0.841395232626904,1.0474838925486734,0.7474852882737271,0.9413909666720395,0.9541389004162782,1.0220190033847296,0.9572074420902952,0.0,0.7997773477247105,0.9595967875292765,0.8472324953665983,1.016190272189905,0.8086154783683513,0.8445357372244845,0.8348896887418993,0.9084278651859374,0.939154092760434,1.101939954613715,0.9023448344523236,1.0151787353235648,0.7204681476252617,1.1101447238948168,0.9048545281814666,0.9892270806241906,0.6882730765726973,1.277174008249041,0.8360641817628008,0.8485197398175445,0.8200389883333644,0.7950778282311131,1.022791605640285,0.8789905975665911,1.1091025309362879,1.3141098189483065,0.758780804819952,1.0248592631100837,0.8721710983091822,1.035675527355941,0.9119290432495466,0.7304408979012765,1.1473017599867783,0.9598298710728645,1.051903584274293,0.9092347368591651
CSCO,0.7711262741924289,0.9227512338623337,0.7996195378179453,0.7902723958183692,0.805331312388768,0.838329859311849,1.009439513794015,0.7769590092110114,0.8467115172845635,0.8903689119133604,1.0084240183641104,0.8893392376715863,0.7997773477247105,0.0,0.8705195103228558,0.8325657904270293,0.9719528452456776,0.8540669265595504,0.8048340839447128,0.7425755871336933,0.8530227857305136,0.875760589216043,1.1689678756228423,0.8278313332480339,1.0235332901231564,0.840300005594402,1.0691062742838089,0.9174672702151058,1.0092127114756606,0.7833366963811191,1.3163078468739868,0.866994375983245,0.760467790878854,0.7994406431296985,0.7156118893798928,1.0602759540506639,0.9015863276198743,1.0958551821842197,1.2527203935519668,0.8297201312983622,1.0382064748364166,0.8176132727602005,1.023095178451334,0.8585792355836677,0.828223358560542,1.120862214896756,0.9100547952730363,1.0626620264018551,0.8060885062205436
0CVX,0.945899644950309,0.9625141373980582,1.025982885643298,0.9984204796224185,0.9641192625724329,0.8605004720825049,0.9819139172396117,0.9686029364293681,0.8894301542350413,0.9074482338939538,0.9971837327469664,0.9514924779129079,0.9595967875292765,0.8705195103228558,0.0,1.0106726240810815,1.0253242088309056,0.9563265068721878,0.9165952243411954,0.893593800298359,0.8914908983751443,0.9274404850237639,1.12675660624225,0.886175108357861,1.0572270187805708,1.037292959079342,1.1243610085756996,0.9599059561424571,1.0785641223160924,1.0330366110180775,1.2744350996172527,0.9230229268749728,0.93412762091021,0.8729945435290386,0.8544540683088858,1.057231522375952,0.9104685683577124,1.0971586103735884,1.1505931786880959,1.0047262134413428,0.9911220467551888,0.8999180763783886,0.967372531921855,0.8476585120330548,1.0228229712725898,1.0744467128341089,0.8887223702326178,1.002751189558656,0.6135466795481748
0DHR,0.8560988732388422,0.9137755879509903,0.689887611767275,0.7801905049923509,0.8326245359918628,0.8821477509989053,0.9417161489932884,0.8553881964782961,0.9466925379748574,1.0145522705684749,0.9903811030040802,0.8864138526548264,0.8472324953665983,0.8325657904270293,1.0106726240810815,0.0,1.0058516400206245,0.9000824273704103,0.8502468177900523,0.8472830381204318,0.9688978960919234,0.9923163034663106,1.0544186193149228,0.8098565399149992,0.9679717980492161,0.8388832532035939,0.9689640493179502,0.9413352355175613,0.8521194382032462,0.8375134008776975,1.1973595185045065,0.9509259788107534,0.8662884082810193,0.9295769651422863,0.8777391556102324,1.0015991762503647,0.8534562034978359,1.030193015323563,1.2148579282689462,0.6440375547145617,1.0531699149556282,0.9245477988079569,0.9493106563894964,0.9448825964132268,0.8405811279624648,1.096095439883692,0.9766578915780746,1.0658833435393005,0.9881226198987378
0DIS,1.0286675457134455,0.9363156828843421,1.066604684878134,0.9530993983325765,1.036398717739524,0.9673244895873003,0.9972512740053971,1.0412397893299756,0.9573211825173202,1.0305170572840718,0.9556590134340279,0.9440526222977708,1.016190272189905,0.9719528452456776,1.0253242088309056,1.0058516400206245,0.0,0.9153140968040281,0.9310642946252567,1.0258010775004516,0.9959953318561282,1.0000295032007152,0.9952714700428618,0.9800474091965832,1.0430549092642953,1.088091774061189,0.9404922964906253,0.944127073314766,1.0553402682928015,1.0594312697211388,1.10984070314042,0.9690802001628516,0.9575613858274574,1.064102588113634,0.9696864767288468,0.9889337098644084,1.0226099024103839,0.9882594117335166,1.0972304896926923,1.00691946915607,1.0192177342058473,1.0188371923909525,1.0294812839099454,0.9533778585913354,1.0831469605460837,1.0069077209899033,1.0022249787396198,0.9083892765846678,1.0165333430942256
GOOG,0.79253001050959,0.8952366476948582,0.9019661718801688,0.8614505002240183,0.7853809256355738,0.8199095056004712,1.040543149118604,0.751233333198998,0.8898471174264567,0.9010436444653894,0.978087829812873,0.9111063655720848,0.8086154783683513,0.8540669265595504,0.9563265068721878,0.9000824273704103,0.9153140968040281,0.0,0.8181354102124754,0.8754132408176825,0.8292904806208613,0.915840931536388,1.0868145883525915,0.9227250037425085,1.0345531139865416,0.9069044333074697,1.0510738092946084,0.850263002874819,1.0777797971737668,0.8036092446333775,1.297076473097461,0.7933105678610637,0.8399454442627621,0.8387415191978909,0.8353713689048075,0.9906130521496395,0.9550246354623595,1.0802514259221285,1.2289177593004872,0.8885808261468989,0.9959454848917388,0.871806535710314,0.9968572072490516,0.8367609106887468,0.9044850155143388,1.1116003929083982,0.9008093061896614,0.992666398898336,0.8917424658228953
00HD,0.789469252074891,0.904317560692136,0.8614880381967092,0.8165588087241687,0.883147964093412,0.8084116965703427,1.0446417922194586,0.8039991000803902,0.8735029000891483,0.8880871792001522,0.9970305733219934,0.8428659684964878,0.8445357372244845,0.8048340839447128,0.9165952243411954,0.8502468177900523,0.9310642946252567,0.8181354102124754,0.0,0.7818963901593933,0.8501328725307381,0.8434277071993145,1.0966129237567273,0.8118391101107464,1.1012072343988495,0.8629639110073798,1.013719320490161,0.936053407960523,1.0677651398081345,0.8333333857756954,1.2994976792370332,0.8672656390180695,0.7383340580835547,0.814615451998171,0.797342140539438,0.9756899878639056,0.960581208772858,1.070348497268515,1.2532107168771114,0.856663976066282,1.0217376782360164,0.8312185344380438,1.0296303041164627,0.7830743407887923,0.8419539948945384,1.101394623313463,0.8979027027932895,0.9677408049204853,0.8476226775228046
0HON,0.7705597256195108,1.0025027163809417,0.8207256887857953,0.7996371571387327,0.8211019220660561,0.8904450623437639,1.1164400413847082,0.7860208011618741,0.8597309414381957,0.8001827976702586,1.1115856930651575,0.9593965137720155,0.8348896887418993,0.7425755871336933,0.893593800298359,0.8472830381204318,1.0258010775004516,0.8754132408176825,0.7818963901593933,0.0,0.8086654072608127,0.7155775089575406,1.2118836169083023,0.8245880958678208,1.1694481348540953,0.794626702127247,1.1499100943532026,1.0494994762724632,1.115555887317652,0.7451850892546898,1.4519067102544463,0.9313151718537562,0.7369541293518479,0.753024968900464,0.72524436122452,1.087520449453412,1.0089264820221493,1.1895912726491176,1.3642086392800798,0.8219536447397545,1.1149378843004305,0.7770699795370265,1.1488752528625936,0.8266349471171329,0.7443365902620557,1.248413431662714,0.8439671267160465,1.1189824750014126,0.7664740134845666
INTC,0.7524830620038366,0.9710717989829497,0.9771200066956514,0.9674608933640072,0.9408319219188629,0.8669056703816012,1.0629082526460785,0.8906002310414167,0.7460444031389982,0.8343488780278892,1.0474669581182425,0.9807055535627844,0.9084278651859374,0.8530227857305136,0.8914908983751443,0.9688978960919234,0.9959953318561282,0.8292904806208613,0.8501328725307381,0.8086654072608127,0.0,0.8321951858292755,1.1922463430911454,0.9238098782493616,1.1089097211970005,0.9710132637209213,1.1357389744937685,0.9537004830155065,1.1266179510516172,0.9023116819821072,1.4016904058932995,0.9007435318616167,0.8505527322472353,0.6764973098570106,0.8380655130472966,1.1129818985936513,1.007523021754268,1.2051250964413356,1.2460988891636362,0.9540223233186981,0.9278280912684086,0.7113208362465757,1.0947677242144385,0.7462875024716775,0.9219291006194389,1.1957749474214712,0.8559768030773178,1.0462870907104205,0.804301635232043
